Entry	Seq_count
tr|A0A7Y5QA21|A0A7Y	6
tr|A0A7Z9WXT1|A0A7Z	1
tr|A0A839TX21|A0A83	73
tr|A0A840L442|A0A84	121
tr|A0A841HS67|A0A84	15
tr|A0A8J3ECS5|A0A8J	7
tr|A0A8T7MCP4|A0A8T	2
tr|A0A8X6ERV5|A0A8X	9
tr|A0A918M3F8|A0A91	549
tr|A0A919J520|A0A91	476
tr|A0A925S176|A0A92	2
tr|A0A928VPD4|A0A92	88
tr|A0A932UFF6|A0A93	3
tr|A0A942NKE9|A0A94	1
tr|A0A952FRB1|A0A95	306
tr|B8IGA6|B8IGA6_ME	3
tr|K0MDA1|K0MDA1_BO	75
tr|A0A0P1GM60|A0A0P	9
tr|A0A0Q6XY66|A0A0Q	3
tr|A0A1C3VIR9|A0A1C	4
tr|A0A1C3WG67|A0A1C	1
tr|A0A1C3XSH2|A0A1C	44
tr|A0A1H8TML4|A0A1H	3
tr|A0A1Q5H598|A0A1Q	42
tr|A0A1Y5PQI1|A0A1Y	20
tr|A0A258R3V0|A0A25	4
tr|A0A2E0IHE1|A0A2E	1
tr|A0A2T1HX84|A0A2T	1
tr|A0A2W4LYL1|A0A2W	13
tr|A0A397PAL2|A0A39	6
tr|A0A4Z1CAS0|A0A4Z	5
tr|A0A519S041|A0A51	1
tr|A0A7V9ANY9|A0A7V	11
tr|A0A7W8ERC5|A0A7W	66
tr|A0A7X4DQG5|A0A7X	2
tr|A0A7Z3CQE5|A0A7Z	194
tr|A0A845Q8Q4|A0A84	1
tr|A0A936YNP5|A0A93	188
tr|A0A961J139|A0A96	6
tr|A3T328|A3T328_SU	4
tr|Q93UX7|Q93UX7_RH	179
tr|X5Y563|X5Y563_9H	169
tr|A0A1F8QVH8|A0A1F	86
tr|A0A3D2JEH8|A0A3D	9
tr|A0A0D7ELU6|A0A0D	9
tr|A0A0N1FZJ2|A0A0N	153
tr|A0A1F6D4X2|A0A1F	191
tr|A0A1F8MT95|A0A1F	17
tr|A0A1H1Q4T7|A0A1H	11
tr|A0A1H8IQ94|A0A1H	218
tr|A0A1I1XP02|A0A1I	165
tr|A0A1N7R7G6|A0A1N	10
tr|A0A259K4J2|A0A25	295
tr|A0A2G6S7S9|A0A2G	4
tr|A0A2J7VAR8|A0A2J	40
tr|A0A2R4SYC3|A0A2R	10
tr|A0A2S0WVD3|A0A2S	5
tr|A0A2V7A8G1|A0A2V	7
tr|A0A2V7DS13|A0A2V	1
tr|A0A2Z5G3K4|A0A2Z	4
tr|A0A355ERW8|A0A35	1
tr|A0A388RM15|A0A38	9
tr|A0A3M2LU45|A0A3M	10
tr|A0A3N1GSV2|A0A3N	600
tr|A0A3R8T1I9|A0A3R	2
tr|A0A401YQ26|A0A40	3
tr|A0A426PY12|A0A42	71
tr|A0A455T8G3|A0A45	4
tr|A0A455VN97|A0A45	63
tr|A0A4S0RVK3|A0A4S	12
tr|A0A4S4BHW1|A0A4S	452
tr|A0A519DYQ9|A0A51	1
tr|A0A522AL13|A0A52	227
tr|A0A534U3D0|A0A53	47
tr|A0A537QAH3|A0A53	64
tr|A0A537V5C6|A0A53	18
tr|A0A537YZR1|A0A53	9
tr|A0A5B8U0Q3|A0A5B	3
tr|A0A5M9WP66|A0A5M	7
tr|A0A645B3R5|A0A64	282
tr|A0A6B8MEF5|A0A6B	20
tr|A0A7C1G4M8|A0A7C	5
tr|A0A7C3JYM8|A0A7C	113
tr|A0A7D8B485|A0A7D	101
tr|A0A7V0UCL5|A0A7V	7
tr|A0A7X2PVB4|A0A7X	9
tr|A0A8H9Y854|A0A8H	39
tr|A0A931PD92|A0A93	2
tr|A0A938EJE4|A0A93	2
tr|A0A948ZLF9|A0A94	1
tr|A0A950H3F0|A0A95	14
tr|A0A956R5C3|A0A95	1
tr|A0A957RMX4|A0A95	71
tr|A0A961KD60|A0A96	326
tr|A0A962RKX5|A0A96	21
tr|A0A972DCF7|A0A97	1
tr|B9T7I4|B9T7I4_RI	91
tr|H8YYJ1|H8YYJ1_9G	1
tr|J3DLF2|J3DLF2_9B	296
tr|N6X2V1|N6X2V1_9A	2
tr|A0A154C3X2|A0A15	15
tr|A0A1E4EVB5|A0A1E	13
tr|A0A1G9A4B3|A0A1G	384
tr|A0A2A4LES6|A0A2A	1
tr|A0A3M5ZMT1|A0A3M	32
tr|A0A3S1TXM0|A0A3S	52
tr|A0A410VHW1|A0A41	47
tr|A0A7W7NV52|A0A7W	8
tr|A0A7W8XTY2|A0A7W	88
tr|A0A7X6H3C4|A0A7X	1
tr|A0A934DWN0|A0A93	4
tr|A0A949TDZ5|A0A94	2
tr|B2IHP8|B2IHP8_BE	11
tr|A0A1Q3TJY9|A0A1Q	8
tr|A0A087E4A5|A0A08	3
tr|A0A0A3XYZ3|A0A0A	11
tr|A0A0K2SNX8|A0A0K	64
tr|A0A1H7K6Z7|A0A1H	30
tr|A0A1R4JW20|A0A1R	55
tr|A0A1V4PQI7|A0A1V	12
tr|A0A1V5M4P6|A0A1V	3
tr|A0A209CRR0|A0A20	71
tr|A0A258GRL4|A0A25	2
tr|A0A2D8A7P2|A0A2D	26
tr|A0A2I0FC88|A0A2I	2
tr|A0A2I1YCF8|A0A2I	1
tr|A0A2V5VD54|A0A2V	65
tr|A0A2V6BQH8|A0A2V	8
tr|A0A2V6L6Y6|A0A2V	5
tr|A0A2V8GBS6|A0A2V	9
tr|A0A2V8JG99|A0A2V	4
tr|A0A2V9PFF5|A0A2V	9
tr|A0A2Z2P5T8|A0A2Z	4
tr|A0A351Q3N2|A0A35	76
tr|A0A372MD33|A0A37	12
tr|A0A378TEU3|A0A37	3
tr|A0A3M2GXQ6|A0A3M	70
tr|A0A3T0K9A4|A0A3T	14
tr|A0A431I970|A0A43	3
tr|A0A4Q2SWS7|A0A4Q	44
tr|A0A4V2U6P1|A0A4V	29
tr|A0A4Y8Q6Y6|A0A4Y	1
tr|A0A4Y8R919|A0A4Y	4
tr|A0A520E5F6|A0A52	3
tr|A0A534GZP7|A0A53	3
tr|A0A535JA83|A0A53	6
tr|A0A5B8C6L9|A0A5B	50
tr|A0A6I0EJG9|A0A6I	3
tr|A0A6I1G6R3|A0A6I	15
tr|A0A6N2DE71|A0A6N	5
tr|A0A7K2YZE8|A0A7K	191
tr|A0A841J6Y4|A0A84	1
tr|A0A844TNL0|A0A84	12
tr|A0A8J2TXY0|A0A8J	2
tr|A0A935H2Y0|A0A93	53
tr|A0A936HHD0|A0A93	4
tr|A0A937RHE9|A0A93	45
tr|A0A961F2R4|A0A96	2
tr|A0A969DJ38|A0A96	703
tr|B9TJT8|B9TJT8_RI	5
tr|D9WBS1|D9WBS1_9A	29
tr|Q07KU0|Q07KU0_RH	1
tr|A0A0Q6GTQ0|A0A0Q	391
tr|A0A1I6RNQ5|A0A1I	7
tr|A0A258I7Q3|A0A25	11
tr|A0A259QX45|A0A25	311
tr|A0A2E3PUV7|A0A2E	1
tr|A0A2G9X2I6|A0A2G	1
tr|A0A3A8ADB3|A0A3A	72
tr|A0A3B0ZMT9|A0A3B	1
tr|A0A411WKK1|A0A41	99
tr|A0A504TXB1|A0A50	84
tr|A0A839EHM5|A0A83	16
tr|A0A923YPK5|A0A92	7
tr|A0A950JH56|A0A95	3
tr|A0A962FKI0|A0A96	2
tr|F0FXH8|F0FXH8_9B	2
tr|A0A023X333|A0A02	59
tr|A0A075U022|A0A07	9
tr|A0A0Q4TRY2|A0A0Q	26
tr|A0A1E7F4G5|A0A1E	1
tr|A0A1G6GS24|A0A1G	59
tr|A0A1K1MGN6|A0A1K	7
tr|A0A1Q7I870|A0A1Q	9
tr|A0A255YYZ0|A0A25	33
tr|A0A2E9GVF9|A0A2E	1
tr|A0A2L2N0C9|A0A2L	18
tr|A0A2N2K5F2|A0A2N	1
tr|A0A2U2RLF2|A0A2U	5
tr|A0A2U9PCJ6|A0A2U	4
tr|A0A2V7G9Q4|A0A2V	12
tr|A0A2V9ITQ2|A0A2V	5
tr|A0A2W6BU58|A0A2W	6
tr|A0A327TC24|A0A32	19
tr|A0A350YA15|A0A35	14
tr|A0A3A4PNT8|A0A3A	6
tr|A0A3D2VQK7|A0A3D	8
tr|A0A410H8I0|A0A41	88
tr|A0A4P6JSK1|A0A4P	3
tr|A0A4Q1SDJ0|A0A4Q	5
tr|A0A4Q2J2L0|A0A4Q	5
tr|A0A4Q3NH38|A0A4Q	3
tr|A0A4Q9KN50|A0A4Q	1
tr|A0A4R1VPN5|A0A4R	11
tr|A0A4R2MKX9|A0A4R	6
tr|A0A511MT75|A0A51	3
tr|A0A535WRB6|A0A53	5
tr|A0A538AVN8|A0A53	74
tr|A0A5C8AW09|A0A5C	1
tr|A0A6M4IVH6|A0A6M	1
tr|A0A6P2GEJ7|A0A6P	14
tr|A0A6S7CZU1|A0A6S	108
tr|A0A6U4FAT5|A0A6U	3
tr|A0A7C3C0P7|A0A7C	2
tr|A0A7L5A8V8|A0A7L	4
tr|A0A7W8VZS2|A0A7W	7
tr|A0A7Y0HST9|A0A7Y	1
tr|A0A844M6C0|A0A84	33
tr|A0A844QHD6|A0A84	5
tr|A0A852ZFY5|A0A85	29
tr|A0A919RCQ5|A0A91	2
tr|A0A942DJR9|A0A94	1
tr|A0A954AZ65|A0A95	1
tr|A0A975K6M9|A0A97	11
tr|A5FZB0|A5FZB0_AC	3
tr|B9XC41|B9XC41_PE	9
tr|D4X7B0|D4X7B0_9B	154
tr|K4QYT4|K4QYT4_ST	3
tr|Q8FN06|Q8FN06_CO	15
tr|A0A1H3TW38|A0A1H	548
tr|A0A1H6GCF5|A0A1H	380
tr|A0A1H7ESF2|A0A1H	152
tr|A0A1H8V4W3|A0A1H	16
tr|A0A1I5WSX6|A0A1I	11
tr|A0A1I7IS76|A0A1I	32
tr|A0A1U6IL92|A0A1U	163
tr|A0A212AYS4|A0A21	1
tr|A0A2N3DE80|A0A2N	4
tr|A0A2W5HTV2|A0A2W	1
tr|A0A3M1A273|A0A3M	6
tr|A0A4R6VSN0|A0A4R	2
tr|A0A560HA96|A0A56	15
tr|A0A5S9BRE5|A0A5S	27
tr|A0A8J8AWG8|A0A8J	4
tr|A0A1Q8ILV8|A0A1Q	19
tr|A0A2M8LSG6|A0A2M	1
tr|T0HG34|T0HG34_9S	6
tr|A0A073CIJ3|A0A07	13
tr|A0A075V9Q7|A0A07	110
tr|A0A086ZWJ8|A0A08	8
tr|A0A0A6UG54|A0A0A	2
tr|A0A0P7ZM07|A0A0P	13
tr|A0A1F4GW21|A0A1F	2
tr|A0A1G5Q5C9|A0A1G	1
tr|A0A1I6LYZ2|A0A1I	22
tr|A0A1V0VFT6|A0A1V	2
tr|A0A258RWH2|A0A25	3
tr|A0A2E3ETC2|A0A2E	7
tr|A0A2N3WPE1|A0A2N	27
tr|A0A2S0IAT3|A0A2S	7
tr|A0A2V6FGT5|A0A2V	6
tr|A0A345HSY9|A0A34	9
tr|A0A352KYS8|A0A35	12
tr|A0A3D4M0E0|A0A3D	3
tr|A0A3N9WZJ3|A0A3N	7
tr|A0A4R2IHX2|A0A4R	7
tr|A0A4R8VCP3|A0A4R	1
tr|A0A518ENN7|A0A51	1
tr|A0A520Q7C4|A0A52	3
tr|A0A5F0KF97|A0A5F	7
tr|A0A5H2UWN2|A0A5H	4
tr|A0A6B3SJR3|A0A6B	77
tr|A0A6P1J9K8|A0A6P	30
tr|A0A7C2WCS3|A0A7C	9
tr|A0A7C5PFP5|A0A7C	1
tr|A0A7S2KD51|A0A7S	1
tr|A0A7W6JGE7|A0A7W	11
tr|A0A7W8GAV4|A0A7W	1
tr|A0A7W9BBR6|A0A7W	10
tr|A0A7Y8VG16|A0A7Y	9
tr|A0A7Y9WEC3|A0A7Y	14
tr|A0A848H9B6|A0A84	38
tr|A0A8J3P8I6|A0A8J	11
tr|A0A931SM90|A0A93	8
tr|A0A941Y2I9|A0A94	17
tr|A0A950NJN9|A0A95	14
tr|A0A957RX60|A0A95	9
tr|A0A959ILJ0|A0A95	1
tr|F2UWT2|F2UWT2_AC	25
tr|H6SN30|H6SN30_PA	33
tr|A0A1F3B4F4|A0A1F	2
tr|A0A1G9J809|A0A1G	331
tr|A0A2E1CXD0|A0A2E	1
tr|A0A2I7KGY7|A0A2I	22
tr|A0A508WWW8|A0A50	66
tr|A0A5C8IPM4|A0A5C	6
tr|A0A651EAA1|A0A65	1
tr|A0A6J5C7F3|A0A6J	173
tr|A0A6L9MKP0|A0A6L	26
tr|A0A7W1AQ60|A0A7W	3
tr|A0A849RYP3|A0A84	1
tr|A0A850KPH0|A0A85	2
tr|A0A922VC19|A0A92	4
tr|A8LML2|A8LML2_DI	15
tr|C5B5L8|C5B5L8_ME	3
tr|Q8VM81|Q8VM81_RH	26
tr|W6RLS5|W6RLS5_9H	68
tr|A0A1Y1RSJ9|A0A1Y	9
tr|A0A272EMI7|A0A27	1
tr|A0A087D6Q5|A0A08	16
tr|A0A0E1SAG0|A0A0E	30
tr|A0A0H1R389|A0A0H	5
tr|A0A142X4R9|A0A14	6
tr|A0A173KW48|A0A17	9
tr|A0A1C3P5W0|A0A1C	1
tr|A0A1G6NQB4|A0A1G	2
tr|A0A1I4S135|A0A1I	19
tr|A0A1L7RSV7|A0A1L	3
tr|A0A1V9FQI4|A0A1V	4
tr|A0A244EJ76|A0A24	2
tr|A0A2D4Y448|A0A2D	36
tr|A0A2N5N1P8|A0A2N	6
tr|A0A2V2REG1|A0A2V	18
tr|A0A2V5JPK2|A0A2V	1
tr|A0A2V7CK18|A0A2V	2
tr|A0A2V8WK30|A0A2V	6
tr|A0A2V9IF26|A0A2V	2
tr|A0A350BPV2|A0A35	3
tr|A0A3L7MMS8|A0A3L	10
tr|A0A3M0YSY4|A0A3M	2
tr|A0A431K5S4|A0A43	140
tr|A0A4D7DED5|A0A4D	1
tr|A0A522VNF4|A0A52	3
tr|A0A524KQ29|A0A52	2
tr|A0A534VK46|A0A53	3
tr|A0A535W9H7|A0A53	24
tr|A0A536AMY1|A0A53	10
tr|A0A5C5W819|A0A5C	1
tr|A0A5R9E189|A0A5R	1
tr|A0A6A2V8F2|A0A6A	94
tr|A0A6N9Z2S1|A0A6N	8
tr|A0A7V5BQY5|A0A7V	16
tr|A0A957US71|A0A95	2
tr|A0A969BUS9|A0A96	47
tr|F8IK51|F8IK51_AL	1
tr|A0A086P7S6|A0A08	34
tr|A0A154W460|A0A15	2
tr|A0A1H0VT01|A0A1H	11
tr|A0A1V0GYF8|A0A1V	1
tr|A0A545U1F6|A0A54	1
tr|A0A562USE5|A0A56	5
tr|A0A5C7XK50|A0A5C	1
tr|A0A7H0G269|A0A7H	8
tr|A0A7W6VCA3|A0A7W	127
tr|A0A7Y7WXH7|A0A7Y	34
tr|A0A840HZ46|A0A84	1
tr|A0A8J3EUH6|A0A8J	1
tr|A0A0J1N6V8|A0A0J	11
tr|A0A2E1A6S9|A0A2E	2
tr|A0A2V7WAT6|A0A2V	10
tr|A0A0N1ARH1|A0A0N	102
tr|A0A1E4Q8Q7|A0A1E	7
tr|A0A1S1SLA6|A0A1S	22
tr|A0A1S8Y0S3|A0A1S	9
tr|A0A1V2RJX1|A0A1V	114
tr|A0A1W9IU49|A0A1W	2
tr|A0A1Y5PWZ7|A0A1Y	9
tr|A0A261EQA8|A0A26	40
tr|A0A2S9AGM2|A0A2S	3
tr|A0A2V5JD79|A0A2V	30
tr|A0A2W5C7U8|A0A2W	6
tr|A0A3M1J9K9|A0A3M	6
tr|A0A432QQ22|A0A43	1
tr|A0A4P7IH85|A0A4P	3
tr|A0A4Y3WQA0|A0A4Y	3
tr|A0A512NTC6|A0A51	4
tr|A0A525WFY6|A0A52	15
tr|A0A537XUD8|A0A53	2
tr|A0A5C7KF95|A0A5C	1
tr|A0A651DB83|A0A65	57
tr|A0A653JB62|A0A65	39
tr|A0A7Y9PJU2|A0A7Y	6
tr|A0A832K1F0|A0A83	2
tr|B1H8L1|B1H8L1_BU	1
tr|E2Q1Z0|E2Q1Z0_ST	3
tr|Q0A6P4|Q0A6P4_AL	1
tr|A0A081RKC1|A0A08	27
tr|A0A0P1FAX4|A0A0P	128
tr|A0A0P9HFK4|A0A0P	100
tr|A0A145ZA93|A0A14	532
tr|A0A1F4HIJ3|A0A1F	22
tr|A0A1H7BXY3|A0A1H	69
tr|A0A1K1SYB5|A0A1K	76
tr|A0A1L3ZPW2|A0A1L	57
tr|A0A1U7DJX1|A0A1U	1
tr|A0A2N7VDZ3|A0A2N	7
tr|A0A2P7B6T0|A0A2P	1
tr|A0A370L5K7|A0A37	4
tr|A0A3B8YI45|A0A3B	3
tr|A0A3M1A662|A0A3M	2
tr|A0A521W8F2|A0A52	2
tr|A0A553ATF7|A0A55	3
tr|A0A6P2GKI0|A0A6P	8
tr|A0A7W7JYE6|A0A7W	12
tr|A0A7X3FZ39|A0A7X	2
tr|A0A8B3L919|A0A8B	468
tr|A0A961RDD2|A0A96	1
tr|A0A962HUX8|A0A96	2
tr|A0A963SVP4|A0A96	1
tr|I4N2L6|I4N2L6_9P	1
tr|N9VBG5|N9VBG5_9G	67
tr|X6G216|X6G216_9H	2
tr|A0A328VIX5|A0A32	4
tr|A0A5Q2N4H7|A0A5Q	7
tr|A0A1S8CDB8|A0A1S	8
tr|A0A1X7P8Q0|A0A1X	16
tr|A0A2A5J3S3|A0A2A	176
tr|A0A2A7S350|A0A2A	5
tr|A0A2D8SJN5|A0A2D	3
tr|A0A2N0XUQ5|A0A2N	3
tr|A0A2S9QJC3|A0A2S	1
tr|A0A2T2XG01|A0A2T	3
tr|A0A2V6X4K8|A0A2V	38
tr|A0A2W5DGF0|A0A2W	2
tr|A0A350SSD5|A0A35	2
tr|A0A379BN04|A0A37	5
tr|A0A3C1DPB4|A0A3C	1
tr|A0A3D3LC54|A0A3D	1
tr|A0A3D3W016|A0A3D	10
tr|A0A3D5DHI2|A0A3D	17
tr|A0A3M2A1R4|A0A3M	4
tr|A0A420VHR7|A0A42	9
tr|A0A437H1V0|A0A43	11
tr|A0A4R6S0K2|A0A4R	1
tr|A0A4V1TUK7|A0A4V	60
tr|A0A514KTP8|A0A51	25
tr|A0A534D4A7|A0A53	17
tr|A0A535MCR3|A0A53	2
tr|A0A538EES4|A0A53	1
tr|A0A5B8U765|A0A5B	2
tr|A0A5C4THB5|A0A5C	1
tr|A0A6J4K122|A0A6J	3
tr|A0A6L7UVQ1|A0A6L	10
tr|A0A6N7H934|A0A6N	2
tr|A0A7W7CI69|A0A7W	2
tr|A0A7W9NIG8|A0A7W	220
tr|A0A7Y1UVF7|A0A7Y	1
tr|A0A917EAH4|A0A91	3
tr|A0A960REJ2|A0A96	2
tr|Q1K3E5|Q1K3E5_DE	2
tr|W0J904|W0J904_9B	2
tr|A0A068RB44|A0A06	104
tr|A0A081BEZ8|A0A08	1
tr|A0A1C7C473|A0A1C	271
tr|A0A1H4F991|A0A1H	5
tr|A0A256GAZ2|A0A25	1
tr|A0A2A5GTZ5|A0A2A	1
tr|A0A2E1XTP5|A0A2E	20
tr|A0A2E3ATY4|A0A2E	14
tr|A0A2G2L346|A0A2G	1
tr|A0A2S4JXB6|A0A2S	2
tr|A0A2W4N4E5|A0A2W	1
tr|A0A3D4GN02|A0A3D	2
tr|A0A3M2VST6|A0A3M	106
tr|A0A4Q3DWP9|A0A4Q	1
tr|A0A546YYP2|A0A54	4
tr|A0A651FYT9|A0A65	13
tr|A0A7Y4FKG0|A0A7Y	2
tr|A0A845AFY4|A0A84	99
tr|A0A927JNZ3|A0A92	1
tr|A0A938DG23|A0A93	5
tr|A0A969EZC3|A0A96	2
tr|E6WA98|E6WA98_PA	101
tr|S5YT28|S5YT28_PA	1
tr|X5MMN0|X5MMN0_9H	1
tr|A0A1U9JLF0|A0A1U	5
tr|A0A349BBN3|A0A34	5
tr|A0A7X8W701|A0A7X	3
tr|A0A084DLP1|A0A08	40
tr|A0A085WSM8|A0A08	63
tr|A0A087D7Y9|A0A08	3
tr|A0A0C2D8I2|A0A0C	7
tr|A0A0F2RYV9|A0A0F	17
tr|A0A157SE89|A0A15	3
tr|A0A1G9SGA2|A0A1G	12
tr|A0A1X7FJM9|A0A1X	6
tr|A0A2E8YWW3|A0A2E	33
tr|A0A2T5MFB5|A0A2T	17
tr|A0A2V7U725|A0A2V	6
tr|A0A2V9UTL4|A0A2V	2
tr|A0A346XUJ6|A0A34	2
tr|A0A358SP16|A0A35	3
tr|A0A367RAY9|A0A36	5
tr|A0A369T9Y7|A0A36	36
tr|A0A372DVR8|A0A37	7
tr|A0A382FMV0|A0A38	1
tr|A0A3N5L185|A0A3N	11
tr|A0A4Q3PKC5|A0A4Q	1
tr|A0A4Q5X6Q5|A0A4Q	4
tr|A0A4R1DCK1|A0A4R	5
tr|A0A4R1HGB2|A0A4R	2
tr|A0A4R4PTI5|A0A4R	2
tr|A0A534QPL9|A0A53	10
tr|A0A534W1I1|A0A53	1
tr|A0A542MEZ4|A0A54	1
tr|A0A5C5WVV0|A0A5C	2
tr|A0A6I6M431|A0A6I	1
tr|A0A6M1RQ57|A0A6M	4
tr|A0A7C5M806|A0A7C	4
tr|A0A7Y0HY73|A0A7Y	7
tr|A0A850D058|A0A85	9
tr|A0A850GCZ4|A0A85	8
tr|A0A8J3WSV0|A0A8J	3
tr|A0A923PSD7|A0A92	1
tr|A0A933J152|A0A93	187
tr|A0A960UU52|A0A96	8
tr|A0A961YLG6|A0A96	3
tr|Q0ICL8|Q0ICL8_SY	29
tr|A0A060ICC8|A0A06	85
tr|A0A0H5D3D9|A0A0H	9
tr|A0A1E5Q946|A0A1E	3
tr|A0A1G3JCG4|A0A1G	14
tr|A0A1H0DY37|A0A1H	1
tr|A0A1H5SWV3|A0A1H	8
tr|A0A2A4T274|A0A2A	1
tr|A0A2D4SEF7|A0A2D	1
tr|A0A2K8Y5X2|A0A2K	6
tr|A0A4Y8SR75|A0A4Y	1
tr|A0A522MQS6|A0A52	2
tr|A0A537M1P9|A0A53	1
tr|A0A6A7Y177|A0A6A	41
tr|A0A6L7GEG8|A0A6L	25
tr|A0A7W0X4R8|A0A7W	1
tr|A0A8B2NU22|A0A8B	2
tr|A0A8I1RYP7|A0A8I	2
tr|A0A916U467|A0A91	5
tr|A0A936FNY2|A0A93	1
tr|A0A942Q586|A0A94	3
tr|A0A949TCR5|A0A94	5
tr|C4RAJ6|C4RAJ6_9P	2
tr|H8FMC1|H8FMC1_XA	9
tr|A0A0S4KM51|A0A0S	1
tr|A0A196MPJ9|A0A19	3
tr|A0A1G6E4C3|A0A1G	4
tr|A0A1X6Z0T8|A0A1X	2
tr|A0A286GES1|A0A28	64
tr|A0A2S0PB14|A0A2S	4
tr|A0A2T2TNI5|A0A2T	23
tr|A0A2V8BZ40|A0A2V	42
tr|A0A2W0CQH3|A0A2W	22
tr|A0A316EKZ0|A0A31	4
tr|A0A328BN22|A0A32	1
tr|A0A3A0AGS9|A0A3A	2
tr|A0A3A4AL30|A0A3A	1
tr|A0A3B0VQB7|A0A3B	7
tr|A0A3B9YXE7|A0A3B	3
tr|A0A3D5DR24|A0A3D	13
tr|A0A3M1FHN9|A0A3M	2
tr|A0A3M2GKP0|A0A3M	79
tr|A0A495WNQ3|A0A49	1
tr|A0A496XKN6|A0A49	1
tr|A0A4Q7MT16|A0A4Q	1
tr|A0A4R4XY70|A0A4R	1
tr|A0A517Z6R6|A0A51	7
tr|A0A525WFT6|A0A52	3
tr|A0A535U977|A0A53	3
tr|A0A560CAX4|A0A56	10
tr|A0A5B8U8K9|A0A5B	2
tr|A0A5N7MHX8|A0A5N	6
tr|A0A7J9YV49|A0A7J	6
tr|A0A7W1NZ79|A0A7W	6
tr|A0A7W6AI66|A0A7W	2
tr|A0A8T3M3U8|A0A8T	3
tr|A0A927TNZ3|A0A92	1
tr|A0A932D7Z4|A0A93	1
tr|A0A951CR56|A0A95	25
tr|A0A953PJ59|A0A95	5
tr|B9BFZ6|B9BFZ6_9B	8
tr|G5R2J7|G5R2J7_SA	4
tr|J3F3V5|J3F3V5_AC	36
tr|A0A1G7E2H1|A0A1G	3
tr|A0A1N6WD34|A0A1N	7
tr|A0A1R1JBQ7|A0A1R	12
tr|A0A1V5CCH4|A0A1V	6
tr|A0A1X0XZJ6|A0A1X	2
tr|A0A2E2EAR9|A0A2E	1
tr|A0A2E3FAG3|A0A2E	8
tr|A0A2R4WQS8|A0A2R	30
tr|A0A2X0QY22|A0A2X	231
tr|A0A2Y9AWP4|A0A2Y	2
tr|A0A358JMX2|A0A35	1
tr|A0A368K084|A0A36	17
tr|A0A6I3T3Z5|A0A6I	1
tr|A0A6L6VJL0|A0A6L	32
tr|A0A6M4ARG7|A0A6M	18
tr|A0A7S7QSP2|A0A7S	83
tr|A0A916XU56|A0A91	5
tr|A0A919E8G8|A0A91	1
tr|F7VIC4|F7VIC4_9P	14
tr|M2Z3V3|M2Z3V3_9P	9
tr|Q2RNV6|Q2RNV6_RH	3
tr|A0A0F9C2V3|A0A0F	3
