Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
'tr|A0A086P7S6|A0A086P7S6 SPHHM LuxR family transcriptional regulator OS=Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / NBRC 16415 / MH) OX=1219045 GN=BV98 002773 PE=4 SV=1'	unreviewed	A0A086P7S6_SPHHM	LuxR family transcriptional regulator	BV98_002773	Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / NBRC 16415 / MH) (Sphingomonas herbicidovorans)	264	Sphingobium herbicidovorans (species), Sphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	34	tr|A0A086P7S6	
tr|A0A086WMS2|A0A086WMS2_9VIBR_LuxR_family_transcriptional_regulator_OS=Vibrio_sp._B183_OX=1526762_GN=IX95_16120_PE=4_SV=1	unreviewed	A0A086WMS2_9VIBR	LuxR family transcriptional regulator	IX95_16120	Vibrio sp. B183	240	unclassified Vibrio (no rank), Vibrio (genus), Vibrionaceae (family), Vibrionales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	25	tr|A0A086WMS2	clade_6
tr|A0A094YPJ3|A0A094YPJ3_9PROT_Transcriptional_activator_protein_raiR_OS=Acetobacter_tropicalis_OX=104102_GN=AtDm6_1692_PE=4_SV=1	unreviewed	A0A094YPJ3_9PROT	Transcriptional activator protein raiR	AtDm6_1692	Acetobacter tropicalis	250	Acetobacter (genus), Acetobacteraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	13	tr|A0A094YPJ3	clade_4
tr|A0A0A7JPB2|A0A0A7JPB2_9PSED_LuxR_family_transcriptional_regulator_OS=Pseudomonas_parafulva_OX=157782_GN=NJ69_14950_PE=4_SV=1	unreviewed	A0A0A7JPB2_9PSED	LuxR family transcriptional regulator	NJ69_14950	Pseudomonas parafulva	237	Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	105	tr|A0A0A7JPB2	clade_6
tr|A0A0B1ZIJ2|A0A0B1ZIJ2_9SPHN_HTH_luxR-type_domain-containing_protein_OS=Novosphingobium_malaysiense_OX=1348853_GN=LK12_22245_PE=4_SV=1	unreviewed	A0A0B1ZIJ2_9SPHN	HTH luxR-type domain-containing protein	LK12_22245	Novosphingobium malaysiense	248	Novosphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0B1ZIJ2	clade_5
tr|A0A0B5FC85|A0A0B5FC85_9BURK_LuxR_family_transcriptional_regulator_OS=Pandoraea_apista_OX=93218_GN=PAP18089_02193_PE=4_SV=1	unreviewed	A0A0B5FC85_9BURK	LuxR family transcriptional regulator	PAP18089_02193	Pandoraea apista	255	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	35	tr|A0A0B5FC85	clade_6
tr|A0A0B6S063|A0A0B6S063_BURPL_Acyl-homoserine_lactone_dependent_transcriptional_activator_OS=Burkholderia_plantarii_OX=41899_GN=BGL_1c11040_PE=4_SV=1	unreviewed	A0A0B6S063_BURPL	Acyl-homoserine lactone dependent transcriptional activator	BGL_1c11040	Burkholderia plantarii	241	Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	11	tr|A0A0B6S063	clade_6
tr|A0A0B6S214|A0A0B6S214_BURPL_Transcriptional_regulator_LuxR_family_OS=Burkholderia_plantarii_OX=41899_GN=BGL_2c16510_PE=4_SV=1	unreviewed	A0A0B6S214_BURPL	Transcriptional regulator, LuxR family	BGL_2c16510	Burkholderia plantarii	237	Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	14	tr|A0A0B6S214	clade_6
tr|A0A0B6S573|A0A0B6S573_BURPL_Putative_transcriptional_regulator_LuxR_family_OS=Burkholderia_plantarii_OX=41899_GN=BGL_2c27640_PE=4_SV=1	unreviewed	A0A0B6S573_BURPL	Putative transcriptional regulator, LuxR family	BGL_2c27640	Burkholderia plantarii	237	Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A0B6S573	clade_2
tr|A0A0C1V4Q9|A0A0C1V4Q9_9BACT_Autoinducer_binding_domain-containing_protein_OS=Methylacidiphilum_kamchatkense_Kam1_OX=1202785_GN=kam1_654_PE=4_SV=1	unreviewed	A0A0C1V4Q9_9BACT	Autoinducer binding domain-containing protein	kam1_654	Methylacidiphilum kamchatkense Kam1	257	Methylacidiphilum kamchatkense (species), Methylacidiphilum (genus), Methylacidiphilaceae (family), Methylacidiphilales (order), Methylacidiphilae (class), Verrucomicrobia (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Methylacidiphilae	5	tr|A0A0C1V4Q9	clade_6
tr|A0A0C1ZI12|A0A0C1ZI12_PSEFL_LuxR_family_transcriptional_regulator_OS=Pseudomonas_fluorescens_OX=294_GN=QS95_23445_PE=4_SV=1	unreviewed	A0A0C1ZI12_PSEFL	LuxR family transcriptional regulator	QS95_23445	Pseudomonas fluorescens	240	Pseudomonas fluorescens group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	14	tr|A0A0C1ZI12	clade_6
tr|A0A0C5WKR1|A0A0C5WKR1_9GAMM_Putative_LuxR_family_transcriptional_regulator_OS=Photobacterium_gaetbulicola_Gung47_OX=658445_GN=H744_1c0664_PE=4_SV=1	unreviewed	A0A0C5WKR1_9GAMM	Putative LuxR family transcriptional regulator	H744_1c0664	Photobacterium gaetbulicola Gung47	259	Photobacterium gaetbulicola (species), Photobacterium (genus), Vibrionaceae (family), Vibrionales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	3	tr|A0A0C5WKR1	clade_6
tr|A0A0D5M1P9|A0A0D5M1P9_9GAMM_Transcriptional_regulator_LuxR_family_OS=Halomonas_sp._KO116_OX=1504981_GN=KO116_01591_PE=4_SV=1	unreviewed	A0A0D5M1P9_9GAMM	Transcriptional regulator, LuxR family	KO116_01591	Halomonas sp. KO116	242	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A0D5M1P9	clade_6
tr|A0A0D6B2H5|A0A0D6B2H5_RHOSU_Transcriptional_regulator_LuxR_family_protein_OS=Rhodovulum_sulfidophilum_OX=35806_GN=NHU_01734_PE=4_SV=1	unreviewed	A0A0D6B2H5_RHOSU	Transcriptional regulator, LuxR family protein	NHU_01734	Rhodovulum sulfidophilum (Rhodobacter sulfidophilus)	247	Rhodovulum (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	7	tr|A0A0D6B2H5	clade_2
tr|A0A0D6PLC8|A0A0D6PLC8_9PROT_Transcriptional_regulator_LuxR_OS=Acidocella_aminolytica_101_=_DSM_11237_OX=1120923_GN=Aam_104_002_PE=4_SV=1	unreviewed	A0A0D6PLC8_9PROT	Transcriptional regulator LuxR	Aam_104_002	Acidocella aminolytica 101 = DSM 11237	251	Acidocella aminolytica (species), Acidocella (genus), Acetobacteraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A0D6PLC8	clade_5
tr|A0A0D6T7L3|A0A0D6T7L3_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Paracoccus_sp._228_OX=1192054_GN=SY26_19660_PE=4_SV=1	unreviewed	A0A0D6T7L3_9RHOB	HTH luxR-type domain-containing protein	SY26_19660	Paracoccus sp. 228	234	unclassified Paracoccus (in: a-proteobacteria) (no rank), Paracoccus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0D6T7L3	clade_4
tr|A0A0D7EWJ7|A0A0D7EWJ7_RHOPL_HTH_luxR-type_domain-containing_protein_OS=Rhodopseudomonas_palustris_OX=1076_GN=OO17_10665_PE=4_SV=1	unreviewed	A0A0D7EWJ7_RHOPL	HTH luxR-type domain-containing protein	OO17_10665	Rhodopseudomonas palustris	244	Rhodopseudomonas (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A0D7EWJ7	clade_5
tr|A0A0D8CQ43|A0A0D8CQ43_9GAMM_HTH_luxR-type_domain-containing_protein_OS=Thalassomonas_actiniarum_OX=485447_GN=SG35_24265_PE=4_SV=1	unreviewed	A0A0D8CQ43_9GAMM	HTH luxR-type domain-containing protein	SG35_24265	Thalassomonas actiniarum	236	Thalassomonas (genus), Colwelliaceae (family), Alteromonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A0D8CQ43	clade_2
tr|A0A0E1RZG6|A0A0E1RZG6_BURPE_Autoinducer-binding_transcriptional_regulator_LuxR_family_OS=Burkholderia_pseudomallei_305_OX=425067_GN=BURPS305_0176_PE=4_SV=1	unreviewed	A0A0E1RZG6_BURPE	Autoinducer-binding transcriptional regulator, LuxR family	BURPS305_0176	Burkholderia pseudomallei 305	238	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	27	tr|A0A0E1RZG6	clade_6
tr|A0A0F5LDC8|A0A0F5LDC8_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Devosia_soli_OX=361041_GN=VW35_08450_PE=4_SV=1	unreviewed	A0A0F5LDC8_9HYPH	HTH luxR-type domain-containing protein	VW35_08450	Devosia soli	253	Devosia (genus), Devosiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A0F5LDC8	clade_3
tr|A0A0F5LUZ6|A0A0F5LUZ6_9HYPH_DNA-binding_transcriptional_regulator_CsgD_family_OS=Devosia_limi_DSM_17137_OX=1121477_GN=SAMN02745223_03635_PE=4_SV=1	unreviewed	A0A0F5LUZ6_9HYPH	DNA-binding transcriptional regulator, CsgD family	SAMN02745223_03635 VW29_03560	Devosia limi DSM 17137	236	Devosia limi (species), Devosia (genus), Devosiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A0F5LUZ6	clade_4
tr|A0A0F7PJ75|A0A0F7PJ75_9HYPH_DNA-binding_protein_with_HTH_domain_OS=Hoeflea_sp._IMCC20628_OX=1620421_GN=IMCC20628_01504_PE=4_SV=1	unreviewed	A0A0F7PJ75_9HYPH	DNA-binding protein with HTH domain	IMCC20628_01504	Hoeflea sp. IMCC20628	252	unclassified Hoeflea (no rank), Hoeflea (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A0F7PJ75	clade_5
tr|A0A0F7PQQ8|A0A0F7PQQ8_9HYPH_DNA-binding_protein_with_HTH_domain_OS=Hoeflea_sp._IMCC20628_OX=1620421_GN=IMCC20628_03257_PE=4_SV=1	unreviewed	A0A0F7PQQ8_9HYPH	DNA-binding protein with HTH domain	IMCC20628_03257	Hoeflea sp. IMCC20628	234	unclassified Hoeflea (no rank), Hoeflea (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0F7PQQ8	clade_6
tr|A0A0F9IIX0|A0A0F9IIX0_9ZZZZ_HTH_luxR-type_domain-containing_protein_OS=marine_sediment_metagenome_OX=412755_GN=LCGC14_1936760_PE=4_SV=1	unreviewed	A0A0F9IIX0_9ZZZZ	HTH luxR-type domain-containing protein	LCGC14_1936760	marine sediment metagenome	253	ecological metagenomes (no rank), metagenomes (no rank), unclassified sequences (no rank), unclassified entries (no rank)		13	tr|A0A0F9IIX0	clade_3
tr|A0A0F9RRT3|A0A0F9RRT3_9ZZZZ_HTH_luxR-type_domain-containing_protein_OS=marine_sediment_metagenome_OX=412755_GN=LCGC14_0544730_PE=4_SV=1	unreviewed	A0A0F9RRT3_9ZZZZ	HTH luxR-type domain-containing protein	LCGC14_0544730	marine sediment metagenome	242	ecological metagenomes (no rank), metagenomes (no rank), unclassified sequences (no rank), unclassified entries (no rank)		3	tr|A0A0F9RRT3	clade_6
tr|A0A0F9T5J9|A0A0F9T5J9_9ZZZZ_HTH_luxR-type_domain-containing_protein_OS=marine_sediment_metagenome_OX=412755_GN=LCGC14_0770070_PE=4_SV=1	unreviewed	A0A0F9T5J9_9ZZZZ	HTH luxR-type domain-containing protein	LCGC14_0770070	marine sediment metagenome	248	ecological metagenomes (no rank), metagenomes (no rank), unclassified sequences (no rank), unclassified entries (no rank)		12	tr|A0A0F9T5J9	clade_3
tr|A0A0F9WBP8|A0A0F9WBP8_9ZZZZ_HTH_luxR-type_domain-containing_protein_OS=marine_sediment_metagenome_OX=412755_GN=LCGC14_0301040_PE=4_SV=1	unreviewed	A0A0F9WBP8_9ZZZZ	HTH luxR-type domain-containing protein	LCGC14_0301040	marine sediment metagenome	249	ecological metagenomes (no rank), metagenomes (no rank), unclassified sequences (no rank), unclassified entries (no rank)		8	tr|A0A0F9WBP8	clade_2
tr|A0A0G3BG13|A0A0G3BG13_9BURK_Transcriptional_regulator_LuxR_family_OS=Schlegelella_brevitalea_OX=413882_GN=AAW51_0207_PE=4_SV=1	unreviewed	A0A0G3BG13_9BURK	Transcriptional regulator, LuxR family	AAW51_0207	Schlegelella brevitalea	245	Schlegelella (genus), Sphaerotilaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	12	tr|A0A0G3BG13	clade_5
tr|A0A0G8B2W7|A0A0G8B2W7_SERMA_LuxR_family_transcriptional_regulator_OS=Serratia_marcescens_OX=615_GN=BVG93_05800_PE=4_SV=1	unreviewed	A0A0G8B2W7_SERMA	LuxR family transcriptional regulator	BVG93_05800 C3R40_20295	Serratia marcescens	238	Serratia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	26	tr|A0A0G8B2W7	clade_6
'tr|A0A0H3AE22|A0A0H3AE22 VIBC3 Transcriptional regulator LuxR family OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) OX=345073 GN=VC0395 0350 PE=4 SV=1'	unreviewed	A0A0H3AE22_VIBC3	Transcriptional regulator, LuxR family	VC0395_0350	Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	253	Vibrio cholerae (species), Vibrio (genus), Vibrionaceae (family), Vibrionales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	48	tr|A0A0H3AE22	
tr|A0A0H3WXZ9|A0A0H3WXZ9_9BURK_HTH_luxR-type_domain-containing_protein_OS=Pandoraea_faecigallinarum_OX=656179_GN=AB870_04595_PE=4_SV=2	unreviewed	A0A0H3WXZ9_9BURK	HTH luxR-type domain-containing protein	AB870_04595	Pandoraea faecigallinarum	258	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	12	tr|A0A0H3WXZ9	clade_6
tr|A0A0H5BDV3|A0A0H5BDV3_BLAVI_Transcriptional_activator_protein_luxR_OS=Blastochloris_viridis_OX=1079_GN=luxR_1_PE=4_SV=1	unreviewed	A0A0H5BDV3_BLAVI	Transcriptional activator protein luxR (Transcriptional regulator)	luxR_1 BV133_928 BVIRIDIS_31830	Blastochloris viridis (Rhodopseudomonas viridis)	240	Blastochloris (genus), Blastochloridaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A0H5BDV3	clade_5
tr|A0A0H5BIC0|A0A0H5BIC0_BLAVI_Transcriptional_activator_protein_luxR_OS=Blastochloris_viridis_OX=1079_GN=luxR_3_PE=4_SV=1	unreviewed	A0A0H5BIC0_BLAVI	Transcriptional activator protein luxR (Transcriptional regulator)	luxR_3 BV133_3286 BVIRIDIS_09110	Blastochloris viridis (Rhodopseudomonas viridis)	245	Blastochloris (genus), Blastochloridaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	7	tr|A0A0H5BIC0	clade_5
tr|A0A0H5D3D9|A0A0H5D3D9_9RHOB_DNA-binding_transcriptional_activator_SdiA_OS=Phaeobacter_italicus_OX=481446_GN=NIT7321_02582_PE=4_SV=1	unreviewed	A0A0H5D3D9_9RHOB	DNA-binding transcriptional activator SdiA	NIT7321_02582	Phaeobacter italicus	261	Phaeobacter (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	9	tr|A0A0H5D3D9	clade_2
tr|A0A0H5DIU7|A0A0H5DIU7_9RHOB_Transcriptional_activator_protein_LuxR_OS=Phaeobacter_italicus_OX=481446_GN=luxR_PE=4_SV=1	unreviewed	A0A0H5DIU7_9RHOB	Transcriptional activator protein LuxR	luxR NIT7321_02811	Phaeobacter italicus	256	Phaeobacter (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A0H5DIU7	clade_2
tr|A0A0L0ENZ4|A0A0L0ENZ4_9GAMM_HTH_luxR-type_domain-containing_protein_OS=Pseudoalteromonas_rubra_OX=43658_GN=AC626_19155_PE=4_SV=1	unreviewed	A0A0L0ENZ4_9GAMM	HTH luxR-type domain-containing protein	AC626_19155	Pseudoalteromonas rubra	258	Pseudoalteromonas (genus), Pseudoalteromonadaceae (family), Alteromonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	9	tr|A0A0L0ENZ4	clade_2
tr|A0A0M0EHU0|A0A0M0EHU0_KOMEU_Transcriptional_activator_protein_LuxR_OS=Komagataeibacter_europaeus_OX=33995_GN=luxR1_PE=4_SV=1	unreviewed	A0A0M0EHU0_KOMEU	Transcriptional activator protein LuxR	luxR1 KOEU_17850	Komagataeibacter europaeus (Gluconacetobacter europaeus)	236	Komagataeibacter (genus), Acetobacteraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	8	tr|A0A0M0EHU0	clade_6
tr|A0A0M6ZL72|A0A0M6ZL72_9HYPH_Regulatory_protein_SdiA_OS=Roseibium_album_OX=311410_GN=sdiA_PE=4_SV=1	unreviewed	A0A0M6ZL72_9HYPH	Regulatory protein SdiA	sdiA LA5096_01977	Roseibium album	251	Roseibium (genus), Stappiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A0M6ZL72	clade_1
tr|A0A0M6ZSP1|A0A0M6ZSP1_9HYPH_Transcriptional_regulator_NarL_OS=Roseibium_album_OX=311410_GN=LA5096_03796_PE=4_SV=1	unreviewed	A0A0M6ZSP1_9HYPH	Transcriptional regulator NarL	LA5096_03796	Roseibium album	242	Roseibium (genus), Stappiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A0M6ZSP1	clade_2
